id,amount,sku_external_id,supplier_article,warehouse_name,quantityFull,in_way_to_client,in_way_from_client,techSize,price,discount,warehouse_id,product_id,created_at,updated_at
1476,10,OZN1564117180,TRANAF00504INT,Коледино,41,6,25,0,1320.00,75,5,75,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1475,0,OZN1557559792,AF00490INT,Коледино,8,7,1,0,1360.00,75,5,148,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1452,151,OZN1022290501,TRANAF00246INT,Краснодар,153,2,0,0,1347.00,74,2,80,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1435,0,OZN1402019503,AF00414INT,Казань,5,5,0,0,1295.00,76,4,4,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1449,29,OZN937442136,TRANAF00190INT,Коледино,40,10,1,0,1360.00,75,5,272,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1466,173,OZN1075931407,AF00307INT,Коледино,200,22,5,0,1335.00,73,5,70,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1467,0,OZN1400399623,AF00409INT,Белые Столбы,0,0,0,0,1600.00,80,17,14,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1486,3,OZN1005663743,AF00213INT,Санкт-Петербург Уткина Заводь,8,5,0,0,1600.00,80,9,202,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1484,5,OZN1025241565,TRANAF00255INT,Электросталь,5,0,0,0,1335.00,73,3,273,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1446,10,OZN1074805047,AF00303INT,Электросталь,24,14,0,0,1600.00,80,3,110,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
987,0,OZN1381734162,AF00401INT,Коледино,4,3,1,0,1600.00,80,5,170,2024-07-27T18:47:30.000000Z,2024-07-28T20:01:05.000000Z
1443,32,OZN852686204,TRANAF00149INT,Казань,33,1,0,0,1335.00,73,4,8,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1437,0,OZN1560045260,AF00506INT,Коледино,31,24,7,0,1360.00,75,5,72,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1441,16,OZN823224039,AF00104INT,Коледино,48,30,2,0,1335.00,70,5,38,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1496,0,OZN1022363440,TRANAF00243INT,Белая дача,0,0,0,0,1600.00,80,6,163,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1534,19,OZN1564114724,AF00510INT,Коледино,37,12,6,0,1320.00,75,5,159,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1492,159,OZN1054017594,TRANAF00287INT,Краснодар,185,26,0,0,1360.00,75,2,168,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1499,46,OZN1063222552,AF00289INT,Электросталь,50,4,0,0,1347.00,74,3,101,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1526,0,OZN1422342267,AF00447INT,Электросталь,9,9,0,0,1335.00,73,3,139,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1527,23,OZN1422399658,AF00444INT,Электросталь,23,0,0,0,1360.00,75,3,147,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1550,30,OZN852673291,TRANAF00144INT,Коледино,63,29,4,0,1320.00,75,5,9,2024-07-27T18:47:33.000000Z,2024-07-28T20:01:06.000000Z
1515,76,OZN1422368004,AF00449INT,Коледино,129,45,8,0,1320.00,75,5,56,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1510,6,OZN1074828871,AF00305INT,Коледино,24,16,2,0,1600.00,80,5,1,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1509,9,OZN1054091124,AF00288INT,Коледино,19,10,0,0,1295.00,76,5,134,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1497,58,OZN1218645088,AF00376INT,Краснодар,60,2,0,0,1295.00,76,2,106,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1552,63,OZN1113731193,TRANAF00330INT,Электросталь,63,0,0,0,1360.00,75,3,178,2024-07-27T18:47:33.000000Z,2024-07-28T20:01:06.000000Z
1553,55,OZN1127052040,AF00333INT,Коледино,81,20,6,0,1600.00,80,5,172,2024-07-27T18:47:33.000000Z,2024-07-28T20:01:06.000000Z
1504,17,OZN1096767671,TRANAF00324INT,Электросталь,19,2,0,0,1390.00,73,3,250,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1502,1,OZN1076475734,AF00314INT,Коледино,2,1,0,0,1295.00,76,5,211,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1530,0,OZN1549613517,AF00467INT,Казань,3,3,0,0,1320.00,75,4,10,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1549,0,OZN852818820,TRANAF00146INT,Коледино,34,32,2,0,1335.00,73,5,39,2024-07-27T18:47:33.000000Z,2024-07-28T20:01:06.000000Z
1535,2,OZN1549385287,AF00477INT,Электросталь,11,7,2,0,1347.00,74,3,161,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1524,6,OZN1418973008,AF00439INT,Коледино,46,33,7,0,1600.00,80,5,3,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
